Id,SleepDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesSleep
1503960366,2016-03-25,11004,7.1100001335144,7.1100001335144,0.0,2.5699999332428,0.46000000834465,4.07000017166138,0.0,33,12,205,804,1819,386.0
1503960366,2016-03-26,17609,11.5500001907349,11.5500001907349,0.0,6.92000007629395,0.730000019073486,3.91000008583069,0.0,89,17,274,588,2154,472.0
1503960366,2016-03-27,12736,8.52999973297119,8.52999973297119,0.0,4.65999984741211,0.159999996423721,3.71000003814697,0.0,56,5,268,605,1944,506.0
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,0.0,3.19000005722046,0.790000021457672,4.94999980926514,0.0,39,20,224,1080,1932,77.0
1503960366,2016-03-29,12041,7.84999990463257,7.84999990463257,0.0,2.16000008583069,1.0900000333786,4.6100001335144,0.0,28,28,243,763,1886,378.0
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0.0,2.35999989509583,0.509999990463257,4.28999996185303,0.0,30,13,223,1174,1820,0.0
1503960366,2016-03-31,12256,7.8600001335144,7.8600001335144,0.0,2.28999996185303,0.490000009536743,5.03999996185303,0.0,33,12,239,820,1889,336.0
1503960366,2016-04-01,12262,7.86999988555908,7.86999988555908,0.0,3.3199999332428,0.829999983310699,3.64000010490417,0.0,47,21,200,866,1868,306.0
1503960366,2016-04-02,11248,7.25,7.25,0.0,3.0,0.449999988079071,3.74000000953674,0.0,40,11,244,636,1843,509.0
1503960366,2016-04-03,10016,6.36999988555908,6.36999988555908,0.0,0.910000026226044,1.27999997138977,4.17999982833862,0.0,15,30,314,655,1850,426.0
1503960366,2016-04-04,14557,9.80000019073486,9.80000019073486,0.0,3.39000010490417,0.699999988079071,5.69000005722046,0.0,43,18,285,757,2030,337.0
1503960366,2016-04-05,14844,9.72999954223633,9.72999954223633,0.0,2.94000005722046,0.759999990463257,6.03999996185303,0.0,36,18,341,736,2083,309.0
1503960366,2016-04-06,11974,7.67000007629395,7.67000007629395,0.0,2.03999996185303,0.479999989271164,5.15000009536743,0.0,27,12,228,1173,1861,0.0
1503960366,2016-04-07,10198,6.44000005722046,6.44000005722046,0.0,1.20000004768372,0.790000021457672,4.44999980926514,0.0,17,20,195,1208,1755,0.0
1503960366,2016-04-08,12521,7.94000005722046,7.94000005722046,0.0,3.30999994277954,0.899999976158142,3.74000000953674,0.0,46,22,212,1160,1895,0.0
1503960366,2016-04-09,12432,8.10000038146973,8.10000038146973,0.0,2.58999991416931,0.589999973773956,4.92000007629395,0.0,32,15,248,738,1883,407.0
1503960366,2016-04-10,10057,6.98000001907349,6.98000001907349,0.0,4.0,0.490000009536743,2.48000001907349,0.0,44,13,168,737,1755,478.0
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0.0,2.03999996185303,0.569999992847443,4.65000009536743,0.0,26,14,216,855,1811,329.0
1503960366,2016-04-12,224,0.140000000596046,0.140000000596046,0.0,0.0,0.0,0.129999995231628,0.0,0,0,9,32,50,0.0
1624580081,2016-03-25,1810,1.17999994754791,1.17999994754791,0.0,0.0,0.0,1.12999999523163,0.0099999997764825,0,0,121,1319,1373,0.0
1624580081,2016-03-26,815,0.529999971389771,0.529999971389771,0.0,0.0,0.0,0.529999971389771,0.0,0,0,47,1393,1264,0.0
1624580081,2016-03-27,1985,1.28999996185303,1.28999996185303,0.0,0.0,0.0,1.27999997138977,0.0099999997764825,0,0,112,1328,1350,0.0
1624580081,2016-03-28,1905,1.24000000953674,1.24000000953674,0.0,0.0,0.0,1.24000000953674,0.0,0,0,95,1345,1342,0.0
1624580081,2016-03-29,1552,1.00999999046326,1.00999999046326,0.0,0.0,0.0,1.0,0.0,0,0,66,1374,1300,0.0
1624580081,2016-03-30,1675,1.0900000333786,1.0900000333786,0.0,0.0,0.0,1.0900000333786,0.0,0,0,84,1356,1313,0.0
1624580081,2016-03-31,4506,2.9300000667572,2.9300000667572,0.0,0.509999990463257,0.270000010728836,2.15000009536743,0.0099999997764825,7,4,144,1285,1498,0.0
1624580081,2016-04-01,9218,5.98999977111816,5.98999977111816,0.0,0.0,0.0,5.96999979019165,0.0099999997764825,0,0,221,1219,1541,0.0
1624580081,2016-04-02,1556,1.00999999046326,1.00999999046326,0.0,0.0,0.0,1.00999999046326,0.0099999997764825,0,0,88,1352,1327,0.0
1624580081,2016-04-03,2910,1.88999998569489,1.88999998569489,0.0,0.0,0.0,1.87999999523163,0.0099999997764825,0,0,157,1283,1452,0.0
1624580081,2016-04-04,18464,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0,0,270,1170,1574,0.0
1624580081,2016-04-05,1335,0.870000004768372,0.870000004768372,0.0,0.0,0.0,0.870000004768372,0.0,0,0,74,1366,1308,0.0
1624580081,2016-04-06,1004,0.649999976158142,0.649999976158142,0.0,0.0,0.0,0.649999976158142,0.0,0,0,55,1385,1276,0.0
1624580081,2016-04-07,1111,0.720000028610229,0.720000028610229,0.0,0.0,0.0,0.720000028610229,0.0,0,0,54,1386,1278,0.0
1624580081,2016-04-08,6344,4.11999988555908,4.11999988555908,0.0,0.0,0.0,4.09999990463257,0.0,0,0,143,1297,1409,0.0
1624580081,2016-04-09,3572,2.3199999332428,2.3199999332428,0.0,0.0,0.0,2.28999996185303,0.0299999993294477,0,0,122,1318,1370,0.0
1624580081,2016-04-10,3910,2.53999996185303,2.53999996185303,0.0,0.469999998807907,0.25,1.80999994277954,0.0099999997764825,7,7,186,1240,1555,0.0
1624580081,2016-04-11,10000,6.5,6.5,0.0,0.0,0.0,6.5,0.0,0,0,172,1268,1469,0.0
1624580081,2016-04-12,6627,4.30999994277954,4.30999994277954,0.0,0.0,0.0,4.30999994277954,0.0,0,0,89,604,706,0.0
1644430081,2016-04-01,4636,3.41000008583069,3.41000008583069,0.0,0.0,0.779999971389771,2.59999990463257,0.0299999993294477,0,16,586,838,3323,0.0
1644430081,2016-04-02,20237,14.710000038147,14.710000038147,0.0,2.5699999332428,6.40000009536743,5.73000001907349,0.0099999997764825,34,141,347,918,4029,0.0
1644430081,2016-04-03,12912,9.40999984741211,9.40999984741211,0.0,4.82999992370605,0.769999980926514,3.78999996185303,0.0299999993294477,59,16,283,1082,3436,0.0
1644430081,2016-04-04,2819,2.04999995231628,2.04999995231628,0.0,0.310000002384186,0.170000001788139,1.55999994277954,0.0099999997764825,4,4,87,1345,2444,0.0
1644430081,2016-04-05,9921,7.21000003814697,7.21000003814697,0.0,0.340000003576279,1.51999998092651,5.3600001335144,0.0,5,35,219,1181,3098,0.0
1644430081,2016-04-06,8046,5.84999990463257,5.84999990463257,0.0,1.28999996185303,2.11999988555908,2.45000004768372,0.0,18,41,137,1244,2925,0.0
1644430081,2016-04-07,11166,8.11999988555908,8.11999988555908,0.0,0.209999993443489,2.41000008583069,5.5,0.0,3,58,230,1149,3202,0.0
1644430081,2016-04-08,7842,5.69999980926514,5.69999980926514,0.0,0.479999989271164,2.41000008583069,2.80999994277954,0.0,7,43,161,1229,2928,0.0
1644430081,2016-04-09,13840,10.0600004196167,10.0600004196167,0.0,1.30999994277954,3.72000002861023,5.03000020980835,0.0,18,81,192,1149,3290,0.0
1644430081,2016-04-10,1329,0.970000028610229,0.970000028610229,0.0,0.0,0.0,0.970000028610229,0.0,0,0,35,207,489,0.0
1844505072,2016-04-01,6847,4.53000020980835,4.53000020980835,0.0,0.610000014305115,0.370000004768372,3.54999995231628,0.0,9,9,251,1171,1969,0.0
1844505072,2016-04-02,5367,3.54999995231628,3.54999995231628,0.0,0.0,0.0,3.54999995231628,0.0,0,0,263,1177,1889,0.0
1844505072,2016-04-03,2841,1.87999999523163,1.87999999523163,0.0,0.0,0.0,1.87999999523163,0.0,0,0,136,1114,1636,190.0
1844505072,2016-04-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,669,1347,771.0
1844505072,2016-04-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1347,0.0
1844505072,2016-04-06,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1439,1349,0.0
1844505072,2016-04-07,6344,4.19000005722046,4.19000005722046,0.0,0.0,0.0,4.19000005722046,0.0,0,0,290,1150,1965,0.0
1844505072,2016-04-08,5316,3.50999999046326,3.50999999046326,0.0,0.0,0.0,3.50999999046326,0.0,0,0,221,1219,1824,0.0
1844505072,2016-04-09,4979,3.28999996185303,3.28999996185303,0.0,0.0,0.0,3.28999996185303,0.0,0,0,184,620,1807,636.0
1844505072,2016-04-10,6556,4.34000015258789,4.34000015258789,0.0,0.0,0.0,4.32999992370605,0.0,0,0,305,810,1971,325.0
